维度1(NAME),文档数1,维度2(NAME),文档数2
TikTok,32385254626,ID,2939662318
TikTok,32385254626,PK,2221726698
TikTok,32385254626,US,1910293896
TikTok,32385254626,BD,1769064121
TikTok,32385254626,VN,1488214699
TikTok,32385254626,TH,1156035761
TikTok,32385254626,PH,1145349534
TikTok,32385254626,BR,998226951
TikTok,32385254626,NG,896767187
TikTok,32385254626,MM,766524146
TikTok,32385254626,MX,665429659
TikTok,32385254626,SA,522086793
TikTok,32385254626,IQ,493318366
TikTok,32385254626,NP,475368789
TikTok,32385254626,MY,453395290
TikTok,32385254626,EG,426487146
TikTok,32385254626,TR,397735079
TikTok,32385254626,CO,349887636
TikTok,32385254626,AR,317041436
TikTok,32385254626,GB,307595511
TikTok,32385254626,ET,301359668
TikTok,32385254626,PE,294660184
TikTok,32385254626,KE,279241241
TikTok,32385254626,KH,274974982
TikTok,32385254626,CI,269679113
TikTok,32385254626,VE,262714468
TikTok,32385254626,GH,239079183
TikTok,32385254626,IT,229680624
TikTok,32385254626,CD,220404327
TikTok,32385254626,BY,217194984
TikTok,32385254626,KZ,215792565
TikTok,32385254626,ZA,211206068
TikTok,32385254626,EC,209433875
TikTok,32385254626,UA,203370214
TikTok,32385254626,DZ,200908531
TikTok,32385254626,ES,199357495
TikTok,32385254626,FR,193442532
TikTok,32385254626,UG,191847195
TikTok,32385254626,AE,181076462
TikTok,32385254626,DE,164667221
TikTok,32385254626,GT,162146948
TikTok,32385254626,SN,138086450
TikTok,32385254626,JP,133329738
TikTok,32385254626,TZ,126059862
TikTok,32385254626,ML,124622945
TikTok,32385254626,SD,123985590
TikTok,32385254626,RO,120009485
TikTok,32385254626,SO,118195446
TikTok,32385254626,BF,116540413
TikTok,32385254626,LA,110008178
TikTok,32385254626,CL,106456203
TikTok,32385254626,DO,102475871
TikTok,32385254626,CA,96958264
TikTok,32385254626,AZ,94753385
TikTok,32385254626,MA,90762289
TikTok,32385254626,NL,88048848
TikTok,32385254626,LY,86584998
TikTok,32385254626,HN,83645246
TikTok,32385254626,FAKE-AD,81385648
TikTok,32385254626,BO,78295783
TikTok,32385254626,LK,75408859
TikTok,32385254626,NI,73724625
TikTok,32385254626,GN,69516299
TikTok,32385254626,AU,64457170
TikTok,32385254626,KW,63615132
TikTok,32385254626,PL,62681621
TikTok,32385254626,TW,59750571
TikTok,32385254626,IL,57040366
TikTok,32385254626,YE,56225954
TikTok,32385254626,KR,53401507
TikTok,32385254626,PY,50808348
TikTok,32385254626,TN,50217607
TikTok,32385254626,SV,47201781
TikTok,32385254626,OM,47041184
TikTok,32385254626,SG,46350322
TikTok,32385254626,TD,45630472
TikTok,32385254626,SL,45490988
TikTok,32385254626,LB,45465709
TikTok,32385254626,QA,44924741
TikTok,32385254626,CM,44503820
TikTok,32385254626,ZW,41775881
TikTok,32385254626,MZ,41155028
TikTok,32385254626,AO,40904432
TikTok,32385254626,ZM,40556163
TikTok,32385254626,BJ,39189426
TikTok,32385254626,BG,36580922
TikTok,32385254626,HT,35847344
TikTok,32385254626,GE,34731367
TikTok,32385254626,JM,33873666
TikTok,32385254626,NE,33472597
TikTok,32385254626,TG,31332398
TikTok,32385254626,GR,30780601
TikTok,32385254626,SE,30705490
TikTok,32385254626,IN,28575010
TikTok,32385254626,CR,28086111
TikTok,32385254626,AF,25555388
TikTok,32385254626,CG,25275630
TikTok,32385254626,PA,24588505
TikTok,32385254626,UY,23927047
TikTok,32385254626,HU,23373153
X,11118465372,US,646883540
X,11118465372,JP,345157447
X,11118465372,IN,184931500
X,11118465372,BR,156557782
X,11118465372,TH,137956843
X,11118465372,GB,126707985
X,11118465372,CN,118739742
X,11118465372,NG,96172437
X,11118465372,MX,87093330
X,11118465372,ES,84279559
X,11118465372,FR,80276520
X,11118465372,CO,76239756
X,11118465372,CA,71373449
X,11118465372,TR,60986606
X,11118465372,AR,55471127
X,11118465372,ID,47328835
X,11118465372,ZA,41411460
X,11118465372,SA,36455844
X,11118465372,PH,33920646
X,11118465372,DE,32448720
X,11118465372,AU,30317107
X,11118465372,PK,27749916
X,11118465372,KE,26815917
X,11118465372,IT,26240269
X,11118465372,KR,25885659
X,11118465372,PE,18741078
X,11118465372,CL,18084676
X,11118465372,GH,17980484
X,11118465372,PL,17109887
X,11118465372,VE,17071194
X,11118465372,NL,16297469
X,11118465372,MY,16231144
X,11118465372,DZ,14965058
X,11118465372,EC,12612627
X,11118465372,UG,11677730
X,11118465372,UY,11621355
X,11118465372,RU,11115148
X,11118465372,AE,10521755
X,11118465372,NO,10384022
X,11118465372,VN,9735910
X,11118465372,EG,9727172
X,11118465372,PT,8810361
X,11118465372,GR,8420050
X,11118465372,IE,8284320
X,11118465372,CU,8082073
X,11118465372,LR,8006736
X,11118465372,SE,7561163
X,11118465372,IR,7528166
X,11118465372,BE,6946465
X,11118465372,LA,6730926
X,11118465372,UA,6597831
X,11118465372,CH,6516026
X,11118465372,YE,5684797
X,11118465372,NZ,5658811
X,11118465372,AT,5658280
X,11118465372,FI,5549827
X,11118465372,MM,5302275
X,11118465372,CD,5166294
X,11118465372,IL,4961318
X,11118465372,SG,4678432
X,11118465372,PY,4575637
X,11118465372,MA,4535089
X,11118465372,RO,4494062
X,11118465372,KW,4388759
X,11118465372,NP,4316801
X,11118465372,IQ,4304804
X,11118465372,TN,4190762
X,11118465372,SV,4148940
X,11118465372,HN,3975858
X,11118465372,BO,3972727
X,11118465372,DO,3917118
X,11118465372,GT,3905968
X,11118465372,JM,3608615
X,11118465372,ZW,3516230
X,11118465372,TZ,3286315
X,11118465372,PA,3270851
X,11118465372,BA,3244314
X,11118465372,RS,3229218
X,11118465372,KP,3227601
X,11118465372,HU,3092163
X,11118465372,SN,2993596
X,11118465372,BS,2961685
X,11118465372,CM,2895315
X,11118465372,CZ,2685612
X,11118465372,OM,2495369
X,11118465372,LB,2451217
X,11118465372,CR,2299357
X,11118465372,DK,2287251
X,11118465372,BD,2262312
X,11118465372,LK,2216131
X,11118465372,QA,2209169
X,11118465372,AF,2150870
X,11118465372,NI,1929920
X,11118465372,RW,1924540
X,11118465372,GE,1889307
X,11118465372,KH,1824147
X,11118465372,ET,1782297
X,11118465372,SY,1603064
X,11118465372,SD,1593248
X,11118465372,CI,1563759
Instagram,7970509455,IN,112656337
Instagram,7970509455,BR,55954255
Instagram,7970509455,US,44855241
Instagram,7970509455,ID,21014832
Instagram,7970509455,TR,17893612
Instagram,7970509455,TH,16209739
Instagram,7970509455,RU,14757641
Instagram,7970509455,AR,13143915
Instagram,7970509455,GB,12786587
Instagram,7970509455,IT,12243165
Instagram,7970509455,ES,10985810
Instagram,7970509455,JP,10976754
Instagram,7970509455,FR,9660415
Instagram,7970509455,MX,8987290
Instagram,7970509455,UA,8584719
Instagram,7970509455,DE,8228123
Instagram,7970509455,BD,8225307
Instagram,7970509455,KR,8179926
Instagram,7970509455,CA,7584499
Instagram,7970509455,NG,6973698
Instagram,7970509455,AE,6751626
Instagram,7970509455,IQ,6607246
Instagram,7970509455,PK,5983827
Instagram,7970509455,CO,5949374
Instagram,7970509455,AU,5821925
Instagram,7970509455,KZ,5419693
Instagram,7970509455,PH,5174261
Instagram,7970509455,CL,5010452
Instagram,7970509455,SA,4866487
Instagram,7970509455,MY,4601140
Instagram,7970509455,PL,4434052
Instagram,7970509455,IR,4087067
Instagram,7970509455,VE,4063155
Instagram,7970509455,UZ,3999364
Instagram,7970509455,EG,3899072
Instagram,7970509455,MA,3742113
Instagram,7970509455,PT,3567256
Instagram,7970509455,VN,3483128
Instagram,7970509455,NL,3237691
Instagram,7970509455,TW,3192449
Instagram,7970509455,TZ,3053002
Instagram,7970509455,DO,2933578
Instagram,7970509455,GR,2621549
Instagram,7970509455,NP,2495812
Instagram,7970509455,DZ,2303934
Instagram,7970509455,ZA,2075852
Instagram,7970509455,PE,2046019
Instagram,7970509455,AZ,1999238
Instagram,7970509455,CH,1969791
Instagram,7970509455,RO,1951966
Instagram,7970509455,CN,1948954
Instagram,7970509455,SE,1920623
Instagram,7970509455,HK,1894686
Instagram,7970509455,KE,1740249
Instagram,7970509455,IL,1692782
Instagram,7970509455,AT,1674187
Instagram,7970509455,EC,1669862
Instagram,7970509455,BE,1669728
Instagram,7970509455,CZ,1657030
Instagram,7970509455,KG,1605652
Instagram,7970509455,BY,1559981
Instagram,7970509455,SG,1536486
Instagram,7970509455,RS,1490886
Instagram,7970509455,SY,1394277
Instagram,7970509455,KW,1342232
Instagram,7970509455,IE,1341458
Instagram,7970509455,PY,1210229
Instagram,7970509455,PR,1149868
Instagram,7970509455,PA,1097670
Instagram,7970509455,NZ,1074546
Instagram,7970509455,NO,1050102
Instagram,7970509455,UY,1041611
Instagram,7970509455,JO,1033990
Instagram,7970509455,LK,1018494
Instagram,7970509455,DK,1010379
Instagram,7970509455,HU,986439
Instagram,7970509455,CR,980056
Instagram,7970509455,QA,964043
Instagram,7970509455,OM,956556
Instagram,7970509455,AL,935447
Instagram,7970509455,FI,935159
Instagram,7970509455,LB,918708
Instagram,7970509455,TN,846335
Instagram,7970509455,GE,834234
Instagram,7970509455,HR,823424
Instagram,7970509455,AM,790183
Instagram,7970509455,BG,776814
Instagram,7970509455,SK,773149
Instagram,7970509455,GH,742983
Instagram,7970509455,CY,740286
Instagram,7970509455,KH,696616
Instagram,7970509455,GT,672375
Instagram,7970509455,BH,622646
Instagram,7970509455,HN,577268
Instagram,7970509455,TJ,532214
Instagram,7970509455,PS,523507
Instagram,7970509455,BA,493087
Instagram,7970509455,MD,467401
Instagram,7970509455,SV,464909
Instagram,7970509455,LA,441232
facebook,1530693097,"Hong Kong, Hong Kong",1425
facebook,1530693097,"Kuala Lumpur, Malaysia",1363
facebook,1530693097,"Singapore, Singapore",827
facebook,1530693097,"New Patna Colony, Bihār, India",292
facebook,1530693097,"Taipei, Taiwan",148
facebook,1530693097,"Kaohsiung, Taiwan",133
facebook,1530693097,"Durban, KwaZulu-Natal",119
facebook,1530693097,"Lagos Harbour, Nigeria",89
facebook,1530693097,"Los Mochis, Sinaloa",89
facebook,1530693097,"Chakwal, Pakistan",73
facebook,1530693097,"202 Roberto Oca St. corner Railroad St., Port Area, Manila, Philippines, 1018",52
facebook,1530693097,"Las Piñas, Philippines, 1750",52
facebook,1530693097,"Mayhill, New Mexico",50
facebook,1530693097,"Nairobi, Kenya",49
facebook,1530693097,Changhua,47
facebook,1530693097,Kota Kinabalu,44
facebook,1530693097,"Toronto, Ontario",41
facebook,1530693097,"1329 Harpers Rd Suite 103, Virginia Beach, VA, United States, 23454",38
facebook,1530693097,"EDSA corner Timog Avenue, Diliman, Quezon City, Philippines",35
facebook,1530693097,Hong Kong,33
facebook,1530693097,"Curitiba, Brazil",31
facebook,1530693097,"Beaufort, Sabah",30
facebook,1530693097,Johor Bahru,30
facebook,1530693097,"Bakul, West Bengal, India",29
facebook,1530693097,"Bangalore, India",26
facebook,1530693097,"Miami, Florida",25
facebook,1530693097,"Sosea mihai bravu 27\/A, Bucharest, Romania, 021301",25
facebook,1530693097,"Takasago, Hyogo",25
facebook,1530693097,"London, United Kingdom",23
facebook,1530693097,New Taipei City,22
facebook,1530693097,"Faro, Portugal",21
facebook,1530693097,"New York, NY, United States",21
facebook,1530693097,"Delhi, India",20
facebook,1530693097,"ABS-CBN Corp., Sgt. Esguerra Ave., Quezon City, Philippines, 1103",18
facebook,1530693097,"No 1, Jalan SS 7\/2, Petaling Jaya, Malaysia, 47301",17
facebook,1530693097,"Shibuya, Tokyo",17
facebook,1530693097,"Ho Chi Minh City, Vietnam",16
facebook,1530693097,"Melbourne, Victoria, Australia",16
facebook,1530693097,"2\/F Sitio Grande 409 A. Soriano Avenue, Intramuros, Philippines, 1020",15
facebook,1530693097,"5 Soi Song-saart Vibhavadhi-Rangsit Road, Jompol, Bangkok, Thailand, 10900",15
facebook,1530693097,"Quezon City, Philippines",15
facebook,1530693097,"Novosibirsk, Russia",14
facebook,1530693097,"Southeast Asia, Sagaing, Myanmar",14
facebook,1530693097,"Petaling Jaya, Malaysia",13
facebook,1530693097,"Enugu, Nigeria",12
facebook,1530693097,"Hanoi, Vietnam",11
facebook,1530693097,"Ndagbo Nkporo, Rivers, Nigeria",11
facebook,1530693097,"Ban Chiang Rak Noi, Pathum Thani, Thailand",10
facebook,1530693097,"Camdenton, Missouri",10
facebook,1530693097,"Chandler, Oklahoma",10
facebook,1530693097,"Gaya, India",10
facebook,1530693097,"Vadodara, Gujarat, India",10
facebook,1530693097,"texas
, Virginia Beach, VA, United States",10
facebook,1530693097,"2780 SIGNAL HILL HTS S.W, Calgary, AB, Canada, T3H 2J1",9
facebook,1530693097,"996 Bendemeer Road, B-Central, #02-01\/02 & 04, Singapore, Singapore, 339944",9
facebook,1530693097,"JR Torres Avenue, Bacolod CIty, Philippines, 6100",9
facebook,1530693097,"Kilburn, London, United Kingdom, +7",9
facebook,1530693097,"New York, NY, United States, 10031-8241",9
facebook,1530693097,"Ampang, Kuala Lumpur",8
facebook,1530693097,"Greenville, SC, United States, 29615",8
facebook,1530693097,Guimarães,8
facebook,1530693097,"Lagos, Nigeria",8
facebook,1530693097,"Lake Orion, MI, United States, 48360",8
facebook,1530693097,"Shaniwar Peth, India",8
facebook,1530693097,"Taichung, Taiwan",8
facebook,1530693097,"22M, Jalan Jalil Perkasa 15, Arked Esplanad, Bukit Jalil, Kuala Lumpur, Malaysia, 57000",7
facebook,1530693097,"8545 us hwy 441, Boynton Beach, FL, United States, 33472",7
facebook,1530693097,"Lambayeque, Peru",7
facebook,1530693097,"Mississauga, Ontario",7
facebook,1530693097,Nantou City,7
facebook,1530693097,"Pasig, Philippines",7
facebook,1530693097,"19B Lorong Bachok Off Geylang Lor 19, Singapore, Singapore, 387788",6
facebook,1530693097,"60A Hoàng Văn Thụ, Phường 9, Quận Phú Nhuận, Ho Chi Minh City, Vietnam, 70000",6
facebook,1530693097,Ajao Estate,6
facebook,1530693097,"Global

, Lagos, Nigeria, 56273",6
facebook,1530693097,"Jos, Jos, Nigeria",6
facebook,1530693097,"LUSAKA, ZAMBIA, Lusaka, Zambia, 10101",6
facebook,1530693097,"Madrid, Spain",6
facebook,1530693097,"Panchiaochen, T'Ai-Pei, Taiwan",6
facebook,1530693097,"Santiago, Philippines",6
facebook,1530693097,"134\/6 millagahawatta, wedamulla, kelaniya, 11600",5
facebook,1530693097,"30 Sto. Niño Street, Barangay San Jose, Antipolo, Philippines, 1870",5
facebook,1530693097,"51 Old Riverhead Road, Suite 2, Westhampton Beach, NY, United States, 11978",5
facebook,1530693097,"81,Jalan Maju, Taman Tebrau Jaya,, Johor Bahru, Malaysia, 80400",5
facebook,1530693097,"Accra SH, Ghana",5
facebook,1530693097,"Algiers, Algeria",5
facebook,1530693097,"Amphoe Warinjamrap, Thailand, <<not-applicable>>",5
facebook,1530693097,"Chelsea, United Kingdom",5
facebook,1530693097,Cotati,5
facebook,1530693097,"Dubai, United Arab Emirates",5
facebook,1530693097,"Emali, Rift Valley, Kenya",5
facebook,1530693097,"Fourth Floor Room 410 & 411, The Anchor building. Kenyatta Street., Eldoret, Kenya, 30200",5
facebook,1530693097,"Ipoh, Perak",5
facebook,1530693097,"New Market, 737106",5
facebook,1530693097,"Paris, France",5
facebook,1530693097,"台灣台北縣新店市, 231",5
facebook,1530693097,"120 Thái Hà, Đống Đa, Hanoi, Vietnam, 100000",4
facebook,1530693097,"Bangkok, Thailand",4
facebook,1530693097,"Cairo, Egypt",4
facebook,1530693097,"Entre Naranjos \/ Vistabella Golf, Calle Melocotonero, Orihuela, Spain, 03319",4
YouTube,1261008180,IN,32198997
YouTube,1261008180,US,23413750
YouTube,1261008180,BR,7441650
YouTube,1261008180,JP,6126320
YouTube,1261008180,ID,5611798
YouTube,1261008180,GB,3253948
YouTube,1261008180,PK,2935078
YouTube,1261008180,MX,2393534
YouTube,1261008180,CA,2202389
YouTube,1261008180,DE,2183755
YouTube,1261008180,TW,2041721
YouTube,1261008180,ES,2032824
YouTube,1261008180,FR,2003285
YouTube,1261008180,PH,1830544
YouTube,1261008180,KR,1795224
YouTube,1261008180,VN,1659981
YouTube,1261008180,BD,1622045
YouTube,1261008180,EG,1282672
YouTube,1261008180,IT,1218418
YouTube,1261008180,HK,1202562
YouTube,1261008180,TR,1184425
YouTube,1261008180,TH,1162673
YouTube,1261008180,RU,1110709
YouTube,1261008180,AR,1048843
YouTube,1261008180,CO,970281
YouTube,1261008180,AU,949973
YouTube,1261008180,MA,679686
YouTube,1261008180,NG,644222
YouTube,1261008180,UA,642881
YouTube,1261008180,PL,609260
YouTube,1261008180,PE,594103
YouTube,1261008180,MY,520499
YouTube,1261008180,AE,517934
YouTube,1261008180,SA,487794
YouTube,1261008180,RO,442144
YouTube,1261008180,KE,431309
YouTube,1261008180,NL,424676
YouTube,1261008180,DO,368080
YouTube,1261008180,ZA,365219
YouTube,1261008180,CL,358771
YouTube,1261008180,SG,345959
YouTube,1261008180,NP,327298
YouTube,1261008180,SN,307945
YouTube,1261008180,EC,283176
YouTube,1261008180,DZ,266158
YouTube,1261008180,IQ,258520
YouTube,1261008180,PT,257793
YouTube,1261008180,GH,223876
YouTube,1261008180,美国,215488
YouTube,1261008180,CH,209925
YouTube,1261008180,BE,204204
YouTube,1261008180,LK,201965
YouTube,1261008180,SE,198692
YouTube,1261008180,AT,191606
YouTube,1261008180,GR,162855
YouTube,1261008180,NZ,155490
YouTube,1261008180,IE,154379
YouTube,1261008180,QA,153526
YouTube,1261008180,KZ,152105
YouTube,1261008180,UG,141991
YouTube,1261008180,SV,138410
YouTube,1261008180,IL,134830
YouTube,1261008180,CZ,131384
YouTube,1261008180,RS,128648
YouTube,1261008180,CN,125686
YouTube,1261008180,GT,119221
YouTube,1261008180,VE,110574
YouTube,1261008180,JO,101099
YouTube,1261008180,TZ,100855
YouTube,1261008180,AZ,100285
YouTube,1261008180,FI,97491
YouTube,1261008180,BY,97335
YouTube,1261008180,HU,96189
YouTube,1261008180,BO,95025
YouTube,1261008180,UY,92338
YouTube,1261008180,DK,89346
YouTube,1261008180,KH,86311
YouTube,1261008180,NO,83138
YouTube,1261008180,CR,82238
YouTube,1261008180,HN,78696
YouTube,1261008180,PR,75927
YouTube,1261008180,LB,72219
YouTube,1261008180,香港,70257
YouTube,1261008180,AL,70171
YouTube,1261008180,JM,69970
YouTube,1261008180,HR,67778
YouTube,1261008180,PA,67309
YouTube,1261008180,BG,66305
YouTube,1261008180,TN,61577
YouTube,1261008180,SK,58211
YouTube,1261008180,LT,55981
YouTube,1261008180,YE,51502
YouTube,1261008180,KW,50270
YouTube,1261008180,LV,49514
YouTube,1261008180,GE,46112
YouTube,1261008180,BA,45923
YouTube,1261008180,PY,45770
YouTube,1261008180,NI,43918
YouTube,1261008180,印度尼西亚,40727
YouTube,1261008180,OM,40457
vk,471749,,
